section,name,diet,price,desc,ingredients,spicy,popular,img,status
starters,Paneer Tikka,veg,220,Grilled cottage cheese cubes marinated in Indian spices and yogurt,Paneer (Cottage Cheese) | Yogurt | Bell Peppers | Onions | Ginger-Garlic Paste | Red Chili Powder | Turmeric | Garam Masala | Lemon Juice,,yes,https://images.unsplash.com/photo-1567188040759-fb8a883dc6d8?w=400&h=300&fit=crop,active
starters,Chicken Wings,non-veg,280,Crispy fried wings tossed in spicy buffalo sauce,Chicken Wings | All-Purpose Flour | Buffalo Hot Sauce | Butter | Garlic Powder | Paprika | Salt & Pepper | Vegetable Oil,yes,,https://images.unsplash.com/photo-1608039755401-742074f0548d?w=400&h=300&fit=crop,active
starters,Spring Rolls,veg,180,Crispy rolls stuffed with mixed vegetables and glass noodles,Spring Roll Wrappers | Cabbage | Carrots | Glass Noodles | Bean Sprouts | Soy Sauce | Sesame Oil | Ginger,,,https://images.unsplash.com/photo-1544025162-d76694265947?w=400&h=300&fit=crop,active
starters,Honey Chilli Potato,veg,210,Crispy potato fingers tossed in sweet-spicy honey chili glaze,Potatoes | Corn Flour | Honey | Red Chili Sauce | Soy Sauce | Garlic | Sesame Seeds,yes,,https://images.unsplash.com/photo-1573080496219-bb080dd4f877?w=400&h=300&fit=crop,active
starters,Chicken Lollipop,non-veg,320,Crunchy fried chicken lollipops served with schezwan dip,Chicken Wings | Ginger-Garlic Paste | Soy Sauce | Corn Flour | Red Chili Paste | Black Pepper,yes,,https://images.unsplash.com/photo-1527477396000-e27163b481c2?w=400&h=300&fit=crop,active
main-course,Butter Chicken,non-veg,350,"Tender chicken in rich, creamy tomato-based gravy with butter",Chicken Breast | Tomato Puree | Heavy Cream | Butter | Kashmiri Red Chili | Ginger-Garlic Paste | Garam Masala | Fenugreek Leaves | Honey,,yes,https://images.unsplash.com/photo-1603894584373-5ac82b2ae398?w=400&h=300&fit=crop,active
main-course,Dal Makhani,veg,260,Slow-cooked black lentils in creamy tomato gravy with spices,Black Lentils (Urad Dal) | Kidney Beans | Tomatoes | Cream | Butter | Ginger-Garlic Paste | Cumin Seeds | Red Chili Powder,,,https://images.unsplash.com/photo-1546833999-b9f581a1996d?w=400&h=300&fit=crop,active
main-course,Paneer Lababdar,veg,320,Soft paneer cubes in creamy onion-tomato gravy and spices,Paneer | Onions | Tomato Puree | Cream | Kasuri Methi | Garam Masala,,,https://images.unsplash.com/photo-1631452180519-c014fe946bc7?w=400&h=300&fit=crop,active
main-course,Fish Curry,non-veg,390,Coastal style fish simmered in tangy coconut-spice gravy,Fresh Fish Fillet | Coconut Milk | Tamarind | Curry Leaves | Mustard Seeds | Red Chili,,,https://images.unsplash.com/photo-1625944230945-1b7dd3b949ab?w=400&h=300&fit=crop,active
pizza,Margherita,veg,299,"Classic pizza with fresh mozzarella, tomato sauce and basil",Pizza Dough | San Marzano Tomatoes | Fresh Mozzarella | Fresh Basil | Olive Oil | Garlic | Salt | Oregano,,yes,https://images.unsplash.com/photo-1574071318508-1cdbab80d002?w=400&h=300&fit=crop,active
pizza,Pepperoni,non-veg,399,"Loaded with spicy pepperoni slices, mozzarella and tomato sauce",Pizza Dough | Pepperoni Slices | Mozzarella Cheese | Tomato Sauce | Olive Oil | Italian Herbs | Red Pepper Flakes,yes,,https://images.unsplash.com/photo-1628840042765-356cda07504e?w=400&h=300&fit=crop,active
pizza,Farmhouse Pizza,veg,369,"Loaded with onions, capsicum, mushrooms and sweet corn",Pizza Base | Mozzarella Cheese | Capsicum | Onions | Mushrooms | Sweet Corn,,,https://images.unsplash.com/photo-1513104890138-7c749659a591?w=400&h=300&fit=crop,active
pizza,Chicken Tikka Pizza,non-veg,449,Indian style pizza topped with smoky chicken tikka pieces,Pizza Dough | Chicken Tikka | Mozzarella | Onions | Bell Peppers | Tandoori Sauce,yes,,https://images.unsplash.com/photo-1594007654729-407eedc4be65?w=400&h=300&fit=crop,active
burgers,Classic Cheeseburger,non-veg,320,"Juicy beef patty with cheddar cheese, lettuce, tomato and special sauce",Beef Patty | Cheddar Cheese | Brioche Bun | Lettuce | Tomato | Onions | Pickles | Special Sauce,,,https://images.unsplash.com/photo-1568901346375-23c9450c58cd?w=400&h=300&fit=crop,active
burgers,Veggie Burger,veg,240,Crispy vegetable patty with fresh greens and tangy mayo,Mixed Vegetable Patty | Whole Wheat Bun | Lettuce | Tomato | Onion Rings | Cheese Slice | Tangy Mayo | Mustard,,,https://images.unsplash.com/photo-1520072959219-c595dc870360?w=400&h=300&fit=crop,active
burgers,Grilled Chicken Burger,non-veg,340,Flame grilled chicken patty with lettuce and peri-peri mayo,Chicken Patty | Burger Bun | Lettuce | Onions | Cheese Slice | Peri-Peri Mayo,,,https://images.unsplash.com/photo-1606755962773-d324e0a13086?w=400&h=300&fit=crop,active
burgers,Double Cheese Burger,veg,290,A rich cheesy burger layered with two patties and sauces,Veg Patties | Cheddar Cheese | Sesame Bun | Lettuce | Pickled Onions | Burger Sauce,,,https://images.unsplash.com/photo-1550547660-d9450f859349?w=400&h=300&fit=crop,active
pasta,Alfredo Pasta,veg,280,Creamy white sauce pasta with parmesan and garlic bread,Fettuccine Pasta | Heavy Cream | Parmesan Cheese | Butter | Garlic | Black Pepper | Parsley | Nutmeg,,yes,https://images.unsplash.com/photo-1645112411341-6c4fd023714a?w=400&h=300&fit=crop,active
pasta,Arrabbiata,veg,260,Spicy tomato sauce pasta with chili flakes and fresh herbs,Penne Pasta | Crushed Tomatoes | Red Chili Flakes | Garlic | Olive Oil | Fresh Basil | Parmesan | Salt,yes,,https://images.unsplash.com/photo-1563379926898-05f4575a45d8?w=400&h=300&fit=crop,active
pasta,Pesto Pasta,veg,320,Fresh basil pesto pasta with parmesan and cherry tomatoes,Penne Pasta | Fresh Basil | Pine Nuts | Parmesan | Garlic | Olive Oil,,,https://images.unsplash.com/photo-1473093295043-cdd812d0e601?w=400&h=300&fit=crop,active
pasta,Chicken Penne Pasta,non-veg,360,Creamy penne tossed with grilled chicken and herbs,Penne Pasta | Chicken Strips | Cream | Parmesan | Garlic | Italian Herbs,,,https://images.unsplash.com/photo-1621996346565-e3dbc646d9a9?w=400&h=300&fit=crop,active
drinks,Mango Lassi,veg,120,Refreshing yogurt-based drink blended with sweet mango pulp,Fresh Yogurt | Mango Pulp | Sugar | Cardamom | Ice | Milk,,yes,https://images.unsplash.com/photo-1527661591475-527312dd65f5?w=400&h=300&fit=crop,active
drinks,Cold Coffee,veg,150,Chilled creamy coffee blended with ice cream and chocolate,Espresso Coffee | Milk | Vanilla Ice Cream | Chocolate Syrup | Sugar | Ice | Whipped Cream,,,https://images.unsplash.com/photo-1461023058943-07fcbe16d735?w=400&h=300&fit=crop,active
drinks,Virgin Mojito,veg,130,Fresh mint and lime cooler with soda for a zesty refreshment,Fresh Mint | Lime | Sugar Syrup | Soda Water | Ice Cubes,,,https://images.unsplash.com/photo-1551538827-9c037cb4f32a?w=400&h=300&fit=crop,active
drinks,Chocolate Milkshake,veg,180,Thick chocolate shake topped with whipped cream and choco chips,Milk | Chocolate Ice Cream | Cocoa Powder | Chocolate Syrup | Whipped Cream,,,https://images.unsplash.com/photo-1577805947697-89e18249d767?w=400&h=300&fit=crop,active
desserts,Gulab Jamun,veg,100,Soft milk-solid dumplings soaked in rose-flavored sugar syrup,Khoya (Milk Solids) | All-Purpose Flour | Baking Soda | Sugar | Rose Water | Cardamom | Saffron | Ghee,,,https://images.unsplash.com/photo-1627308595229-7830a5c91f9f?w=400&h=300&fit=crop,active
desserts,Chocolate Brownie,veg,180,Warm fudgy brownie served with vanilla ice cream and chocolate sauce,Dark Chocolate | Butter | Sugar | Eggs | All-Purpose Flour | Cocoa Powder | Vanilla Extract | Walnuts,,,https://images.unsplash.com/photo-1606313564200-e75d5e30476c?w=400&h=300&fit=crop,active
desserts,Blueberry Cheesecake,veg,240,Creamy baked cheesecake with blueberry compote topping,Cream Cheese | Digestive Biscuit Base | Fresh Cream | Blueberry Sauce | Vanilla,,,https://images.unsplash.com/photo-1533134242443-d4fd215305ad?w=400&h=300&fit=crop,active
desserts,Ice Cream Sundae,veg,220,"Three scoop sundae with nuts, chocolate sauce and wafer",Vanilla Ice Cream | Chocolate Ice Cream | Strawberry Ice Cream | Chocolate Sauce | Roasted Nuts,,,https://images.unsplash.com/photo-1563805042-7684c019e1cb?w=400&h=300&fit=crop,active
starters,Crispy Corn,veg,190,Golden fried corn kernels tossed with peppers and spring onion,Sweet Corn | Bell Peppers | Spring Onion | Pepper,,,https://images.unsplash.com/photo-1567188040759-fb8a883dc6d8?w=400&h=300&fit=crop,active
starters,Hara Bhara Kebab,veg,200,Spinach and green-pea patties with a soft paneer centre,Spinach | Green Peas | Paneer | Potato | Spices,,,https://images.unsplash.com/photo-1603894584373-5ac82b2ae398?w=400&h=300&fit=crop,active
starters,Veg Manchurian Dry,veg,210,Vegetable dumplings wok-tossed in garlic-soy glaze,Mixed Vegetables | Garlic | Soy Sauce | Spring Onion,yes,,https://images.unsplash.com/photo-1631452180519-c014fe946bc7?w=400&h=300&fit=crop,active
starters,Chilli Paneer Dry,veg,240,Crisp paneer cubes in a fiery chilli-garlic toss,Paneer | Capsicum | Onion | Chilli Sauce,yes,yes,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?w=400&h=300&fit=crop,active
starters,Mushroom Duplex,veg,230,"Stuffed button mushrooms, crumbed and fried",Mushrooms | Cheese | Corn | Breadcrumbs,,,https://images.unsplash.com/photo-1551183053-bf91a1d81141?w=400&h=300&fit=crop,active
starters,Cheese Corn Balls,veg,220,Molten cheese and corn croquettes,Cheese | Sweet Corn | Potato | Breadcrumbs,,,https://images.unsplash.com/photo-1546039907-7fa05f864c02?w=400&h=300&fit=crop,active
starters,Peri Peri Fries,veg,160,Crispy fries dusted in peri-peri spice,Potato | Peri Peri Spice | Herbs,yes,,https://images.unsplash.com/photo-1527477396000-e27163b481c2?w=400&h=300&fit=crop,active
starters,Nachos Supreme,veg,250,"Loaded nachos with cheese sauce, salsa and jalapeños",Nachos | Cheese Sauce | Salsa | Jalapeños | Olives,yes,,https://images.unsplash.com/photo-1552566626-52f8b828add9?w=400&h=300&fit=crop,active
starters,Onion Rings,veg,150,Beer-battered onion rings with ranch dip,Onion | Batter | Ranch Dip,,,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?w=400&h=300&fit=crop,active
starters,Stuffed Jalapeño Poppers,veg,240,"Cream-cheese jalapeños, crumbed and fried",Jalapeños | Cream Cheese | Breadcrumbs,yes,,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?w=400&h=300&fit=crop,active
starters,Garlic Bread Supreme,veg,180,Wood-fired garlic bread with cheese and herbs,Bread | Garlic Butter | Mozzarella | Oregano,,,https://images.unsplash.com/photo-1577219491135-ce391730fb2c?w=400&h=300&fit=crop,active
starters,Paneer 65,veg,250,South-style spicy fried paneer with curry leaves,Paneer | Curry Leaves | Yogurt | Red Chilli,yes,,https://images.unsplash.com/photo-1519671482749-fd09be7ccebf?w=400&h=300&fit=crop,active
starters,Aloo Tikki Chaat,veg,170,"Crisp potato patties with yogurt, chutneys and sev",Potato | Yogurt | Tamarind Chutney | Sev,,,https://images.unsplash.com/photo-1530103862676-de8c9debad1d?w=400&h=300&fit=crop,active
starters,Dahi Ke Kebab,veg,230,"Hung-curd kebabs, crisp outside and molten inside",Hung Curd | Onion | Cashew | Spices,,,https://images.unsplash.com/photo-1464366400600-7168b8af9bc3?w=400&h=300&fit=crop,active
starters,Corn Salt & Pepper,veg,200,"Crispy corn with burnt garlic, salt and cracked pepper",Sweet Corn | Garlic | Pepper | Spring Onion,,,https://images.unsplash.com/photo-1567188040759-fb8a883dc6d8?w=400&h=300&fit=crop,active
starters,Chicken 65,non-veg,290,Fiery South-style fried chicken with curry leaves,Chicken | Curry Leaves | Yogurt | Red Chilli,yes,,https://images.unsplash.com/photo-1603894584373-5ac82b2ae398?w=400&h=300&fit=crop,active
starters,Chilli Chicken Dry,non-veg,300,Crisp chicken tossed with peppers in chilli-garlic sauce,Chicken | Capsicum | Onion | Chilli Sauce,yes,yes,https://images.unsplash.com/photo-1631452180519-c014fe946bc7?w=400&h=300&fit=crop,active
starters,Drums of Heaven,non-veg,330,"Glazed chicken drumettes, wok-tossed and sesame-flecked",Chicken Wings | Soy Glaze | Sesame | Garlic,yes,,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?w=400&h=300&fit=crop,active
starters,Fish Fingers,non-veg,340,Golden fried fish strips with tartar sauce,Fish | Breadcrumbs | Tartar Sauce | Lemon,,,https://images.unsplash.com/photo-1551183053-bf91a1d81141?w=400&h=300&fit=crop,active
starters,Fish Amritsari,non-veg,360,"Ajwain-spiced battered fish, Amritsar style",Fish | Gram Flour | Ajwain | Chaat Masala,yes,,https://images.unsplash.com/photo-1546039907-7fa05f864c02?w=400&h=300&fit=crop,active
starters,Chicken Popcorn,non-veg,260,Bite-size crispy fried chicken,Chicken | Flour | Spices,,,https://images.unsplash.com/photo-1527477396000-e27163b481c2?w=400&h=300&fit=crop,active
starters,Garlic Butter Prawns,non-veg,420,Prawns pan-seared in garlic butter,Prawns | Garlic | Butter | Parsley,,,https://images.unsplash.com/photo-1552566626-52f8b828add9?w=400&h=300&fit=crop,active
starters,Mutton Seekh Roll Bites,non-veg,380,"Minced mutton seekh, sliced and seared",Mutton Mince | Onion | Ginger | Garam Masala,yes,,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?w=400&h=300&fit=crop,active
starters,Egg Pakora,non-veg,150,Boiled-egg fritters in spiced gram-flour batter,Egg | Gram Flour | Chilli | Onion,yes,,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?w=400&h=300&fit=crop,active
starters,Chicken Spring Rolls,non-veg,220,Crispy rolls stuffed with chicken and glass noodles,Chicken | Noodles | Cabbage | Spring Onion,,,https://images.unsplash.com/photo-1577219491135-ce391730fb2c?w=400&h=300&fit=crop,active
soups,Tomato Basil Soup,veg,140,Slow-roasted tomato soup with fresh basil,Tomato | Basil | Cream | Garlic,,,https://images.unsplash.com/photo-1519671482749-fd09be7ccebf?w=400&h=300&fit=crop,active
soups,Sweet Corn Veg Soup,veg,140,Classic creamy sweet-corn broth,Sweet Corn | Vegetables | Pepper,,,https://images.unsplash.com/photo-1530103862676-de8c9debad1d?w=400&h=300&fit=crop,active
soups,Hot & Sour Veg Soup,veg,150,"Tangy, peppery vegetable broth",Vegetables | Soy | Vinegar | Pepper,yes,,https://images.unsplash.com/photo-1464366400600-7168b8af9bc3?w=400&h=300&fit=crop,active
soups,Manchow Veg Soup,veg,150,Dark garlicky soup topped with fried noodles,Vegetables | Garlic | Soy | Fried Noodles,yes,,https://images.unsplash.com/photo-1567188040759-fb8a883dc6d8?w=400&h=300&fit=crop,active
soups,Cream of Mushroom,veg,160,Silky mushroom velouté,Mushroom | Cream | Butter | Thyme,,,https://images.unsplash.com/photo-1603894584373-5ac82b2ae398?w=400&h=300&fit=crop,active
soups,Lemon Coriander Soup,veg,140,"Light, zesty clear soup",Lemon | Coriander | Vegetable Broth,,,https://images.unsplash.com/photo-1631452180519-c014fe946bc7?w=400&h=300&fit=crop,active
soups,Minestrone,veg,160,Italian vegetable and pasta soup,Vegetables | Pasta | Tomato | Herbs,,,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?w=400&h=300&fit=crop,active
soups,Hot & Sour Chicken Soup,non-veg,170,"Tangy, peppery chicken broth",Chicken | Soy | Vinegar | Pepper,yes,,https://images.unsplash.com/photo-1551183053-bf91a1d81141?w=400&h=300&fit=crop,active
soups,Sweet Corn Chicken Soup,non-veg,170,Creamy corn broth with shredded chicken,Chicken | Sweet Corn | Egg White,,,https://images.unsplash.com/photo-1546039907-7fa05f864c02?w=400&h=300&fit=crop,active
soups,Manchow Chicken Soup,non-veg,180,Garlicky chicken soup with fried noodles,Chicken | Garlic | Soy | Fried Noodles,yes,,https://images.unsplash.com/photo-1527477396000-e27163b481c2?w=400&h=300&fit=crop,active
soups,Chicken Clear Soup,non-veg,160,Light ginger-scented chicken broth,Chicken | Ginger | Spring Onion,,,https://images.unsplash.com/photo-1552566626-52f8b828add9?w=400&h=300&fit=crop,active
soups,Murgh Shorba,non-veg,180,Spiced Indian chicken soup,Chicken | Onion | Tomato | Garam Masala,,,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?w=400&h=300&fit=crop,active
salads,Green Garden Salad,veg,150,Crisp seasonal greens with lemon vinaigrette,Lettuce | Cucumber | Tomato | Lemon Dressing,,,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?w=400&h=300&fit=crop,active
salads,Greek Salad,veg,220,"Feta, olives, cucumber and oregano",Feta | Olives | Cucumber | Tomato | Oregano,,,https://images.unsplash.com/photo-1577219491135-ce391730fb2c?w=400&h=300&fit=crop,active
salads,Caesar Salad Veg,veg,230,"Romaine, parmesan and croutons in Caesar dressing",Romaine | Parmesan | Croutons | Caesar Dressing,,,https://images.unsplash.com/photo-1519671482749-fd09be7ccebf?w=400&h=300&fit=crop,active
salads,Corn & Bean Salad,veg,180,"Sweet corn, kidney beans and peppers",Sweet Corn | Kidney Beans | Peppers | Lime,,,https://images.unsplash.com/photo-1530103862676-de8c9debad1d?w=400&h=300&fit=crop,active
salads,Kachumber,veg,120,Indian chopped salad with lime and chaat masala,Cucumber | Onion | Tomato | Lime | Chaat Masala,,,https://images.unsplash.com/photo-1464366400600-7168b8af9bc3?w=400&h=300&fit=crop,active
salads,Fruit Chaat,veg,160,Seasonal fruit tossed with chaat spice,Seasonal Fruit | Chaat Masala | Lime,,,https://images.unsplash.com/photo-1567188040759-fb8a883dc6d8?w=400&h=300&fit=crop,active
salads,Pasta Salad,veg,200,Cold penne with veggies in herb mayo,Penne | Vegetables | Herb Mayo,,,https://images.unsplash.com/photo-1603894584373-5ac82b2ae398?w=400&h=300&fit=crop,active
salads,Caesar Salad Chicken,non-veg,280,Classic Caesar with grilled chicken,Chicken | Romaine | Parmesan | Croutons,,,https://images.unsplash.com/photo-1631452180519-c014fe946bc7?w=400&h=300&fit=crop,active
salads,Grilled Chicken Salad,non-veg,290,Char-grilled chicken over greens,Chicken | Greens | Cherry Tomato | Vinaigrette,,,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?w=400&h=300&fit=crop,active
salads,Egg Salad,non-veg,190,"Boiled eggs, greens and mustard mayo",Egg | Lettuce | Mustard Mayo,,,https://images.unsplash.com/photo-1551183053-bf91a1d81141?w=400&h=300&fit=crop,active
tandoor-kebabs,Tandoori Chicken (Half),non-veg,340,Classic char-grilled half chicken,Chicken | Yogurt | Red Chilli | Garam Masala,yes,yes,https://images.unsplash.com/photo-1546039907-7fa05f864c02?w=400&h=300&fit=crop,active
tandoor-kebabs,Tandoori Chicken (Full),non-veg,590,Whole tandoori chicken off the coals,Chicken | Yogurt | Red Chilli | Garam Masala,yes,,https://images.unsplash.com/photo-1527477396000-e27163b481c2?w=400&h=300&fit=crop,active
tandoor-kebabs,Chicken Tikka,non-veg,320,Smoky boneless chicken tikka,Chicken | Yogurt | Kashmiri Chilli | Lemon,yes,,https://images.unsplash.com/photo-1552566626-52f8b828add9?w=400&h=300&fit=crop,active
tandoor-kebabs,Malai Chicken Tikka,non-veg,340,"Creamy, mild cheese-marinated tikka",Chicken | Cream | Cheese | Cardamom,,,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?w=400&h=300&fit=crop,active
tandoor-kebabs,Chicken Seekh Kebab,non-veg,330,Minced chicken kebabs off the skewer,Chicken Mince | Onion | Coriander | Spices,yes,,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?w=400&h=300&fit=crop,active
tandoor-kebabs,Mutton Seekh Kebab,non-veg,420,Juicy minced mutton skewers,Mutton Mince | Onion | Ginger | Garam Masala,yes,,https://images.unsplash.com/photo-1577219491135-ce391730fb2c?w=400&h=300&fit=crop,active
tandoor-kebabs,Tangdi Kebab,non-veg,360,"Marinated chicken drumsticks, char-finished",Chicken Drumsticks | Yogurt | Spices,yes,,https://images.unsplash.com/photo-1519671482749-fd09be7ccebf?w=400&h=300&fit=crop,active
tandoor-kebabs,Fish Tikka,non-veg,390,Riverside-style spiced fish tikka,Fish | Yogurt | Carom | Mustard Oil,yes,,https://images.unsplash.com/photo-1530103862676-de8c9debad1d?w=400&h=300&fit=crop,active
tandoor-kebabs,Tandoori Prawns,non-veg,460,Jumbo prawns kissed by the tandoor,Prawns | Yogurt | Chilli | Lime,yes,,https://images.unsplash.com/photo-1464366400600-7168b8af9bc3?w=400&h=300&fit=crop,active
tandoor-kebabs,Paneer Tikka Shashlik,veg,290,Paneer skewers with charred peppers and pineapple,Paneer | Peppers | Pineapple | Onion,,,https://images.unsplash.com/photo-1567188040759-fb8a883dc6d8?w=400&h=300&fit=crop,active
tandoor-kebabs,Malai Paneer Tikka,veg,290,Creamy cardamom-scented paneer tikka,Paneer | Cream | Cheese | Cardamom,,,https://images.unsplash.com/photo-1603894584373-5ac82b2ae398?w=400&h=300&fit=crop,active
tandoor-kebabs,Tandoori Mushroom,veg,260,Whole mushrooms in smoky tandoori masala,Mushroom | Yogurt | Tandoori Masala,yes,,https://images.unsplash.com/photo-1631452180519-c014fe946bc7?w=400&h=300&fit=crop,active
tandoor-kebabs,Tandoori Broccoli,veg,270,Char-grilled broccoli in malai marinade,Broccoli | Cream | Cheese | Pepper,,,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?w=400&h=300&fit=crop,active
tandoor-kebabs,Soya Chaap Tikka,veg,240,Smoky soya chaap on the skewer,Soya Chaap | Yogurt | Spices,yes,,https://images.unsplash.com/photo-1551183053-bf91a1d81141?w=400&h=300&fit=crop,active
tandoor-kebabs,Veg Seekh Kebab,veg,230,Minced vegetable kebabs off the skewer,Mixed Vegetables | Potato | Spices,,,https://images.unsplash.com/photo-1546039907-7fa05f864c02?w=400&h=300&fit=crop,active
tandoor-kebabs,Tandoori Platter Veg,veg,520,"Paneer tikka, mushroom, chaap and veg seekh",Paneer | Mushroom | Soya Chaap | Veg Seekh,yes,,https://images.unsplash.com/photo-1527477396000-e27163b481c2?w=400&h=300&fit=crop,active
